"sex","dom","nondom"
"Male",37,16
"Female",31,12
"Male",27,10
"Female",39,18
"Female",23,8
"Male",21,9
"Female",33,11
"Male",30,17
"Female",35,16
"Female",43,19
"Male",34,9
"Female",41,18
"Female",33,7
"Male",34,13
"Male",29,10
"Male",32,15
"Female",32,10
"Female",48,23
"Male",31,12
"Female",39,8
"Male",31,12
"Female",18,7
"Male",40,18
"Female",31,6
"Female",41,10
"Male",26,13
"Male",40,24
"Female",33,14
"Female",36,13
"Female",31,12
"Female",32,12
"Female",42,13
"Male",41,20
"Male",37,17
"Female",38,12
"Female",32,12
"Female",32,13
"Male",36,10
"Male",25,8
"Female",37,18
"Male",40,22
"Male",43,14
"Female",40,12
"Male",30,9
"Female",39,10
"Male",35,19
"Male",35,11
"Male",37,21
"Female",41,15
"Male",23,6
"Male",47,16
"Male",41,13
"Female",30,10
"Male",25,13
"Male",27,12
"Male",33,10
"Female",29,10
"Male",32,17
"Male",39,16
"Female",42,15
"Male",36,14
"Male",27,12
"Male",33,6
